a war	Cx=219340038	Bx=801301707
accidental war	Cx=123339	Bx=402587
acclaimed war	Cx=23163	Bx=94397
accommodate war	Cx=97734	Bx=596461
accompanied war	Cx=508032	Bx=1615951
war accompanied	Cy=508032	By=1615951
accompanies war	Cx=50384	Bx=202291
accompany war	Cx=132383	Bx=511648
war accompany	Cy=132383	By=511648
accompanying war	Cx=166724	Bx=625591
war accompanying	Cy=166724	By=625591
war accomplish	Cy=207017	By=840953
accomplished war	Cx=472273	Bx=1578452
war accomplished	Cy=472273	By=1578452
war accomplishes	Cy=18201	By=72536
war accomplishments	Cy=85087	By=351642
war accord	Cy=185051	By=512371
war accorded	Cy=98990	By=272624
war according	Cy=2339856	By=7856952
accordingly war	Cx=400217	Bx=1076441
war accordingly	Cy=400217	By=1076441
account war	Cx=1943500	Bx=6122992
war account	Cy=1943500	By=6122992
war accounted	Cy=171090	By=620594
war accounts	Cy=545661	By=2157361
war accoutrements	Cy=4736	By=20185
accredited war	Cx=40317	Bx=127071
accumulate war	Cx=69282	Bx=289560
accumulated war	Cx=171676	Bx=555508
war accumulated	Cy=171676	By=555508
accumulating war	Cx=37022	Bx=128376
accurate war	Cx=452015	Bx=1815714
war accurately	Cy=225035	By=864459
accursed war	Cx=19991	Bx=40283
accused war	Cx=288269	Bx=894530
war accused	Cy=288269	By=894530
war accustomed	Cy=205512	By=506974
ace war	Cx=58278	Bx=271709
war ace	Cy=58278	By=271709
aceh war	Cx=5	Bx=3840
war aces	Cy=8953	By=38640
achaean war	Cx=7856	Bx=10665
achieve war	Cx=543655	Bx=2550560
war achieved	Cy=672420	By=2538560
war achievement	Cy=562476	By=1896626
war achievements	Cy=186547	By=553851
war achieves	Cy=50023	By=187209
war achilles	Cy=65387	By=193615
achin war	Cx=1021	Bx=1596
acknowledged war	Cx=181085	Bx=774693
war acknowledged	Cy=181085	By=774693
war acquaintance	Cy=169437	By=359970
acquire war	Cx=250795	Bx=854705
war acquire	Cy=250795	By=854705
acquired war	Cx=551481	Bx=1833304
war acquired	Cy=551481	By=1833304
war acquires	Cy=59155	By=165079
acquiring war	Cx=104661	Bx=385714
war acquisitions	Cy=35231	By=200357
war acreage	Cy=60705	By=143657
acrimonious war	Cx=9893	Bx=27798
across war	Cx=1484446	Bx=6535393
war across	Cy=1484446	By=6535393
act war	Cx=3020638	Bx=10467292
war act	Cy=3020638	By=10467292
war acted	Cy=329475	By=893522
acting war	Cx=572115	Bx=2053440
war acting	Cy=572115	By=2053440
action war	Cx=3370218	Bx=10983844
war action	Cy=3370218	By=10983844
war actions	Cy=723435	By=3672978
active war	Cx=1174095	Bx=4950644
war active	Cy=1174095	By=4950644
war actively	Cy=154140	By=798245
war activism	Cy=10503	By=192897
war activist	Cy=13578	By=217140
war activists	Cy=21046	By=321887
war activities	Cy=1675624	By=7387358
war activity	Cy=1872568	By=8519878
war acts	Cy=912720	By=3072829
actual war	Cx=1262254	Bx=4272249
war actual	Cy=1262254	By=4272249
actually war	Cx=1439819	Bx=5346329
war actually	Cy=1439819	By=5346329
acute war	Cx=498158	Bx=2975216
ad war	Cx=694482	Bx=2254559
war ad	Cy=694482	By=2254559
war adam	Cy=245911	By=955259
war adams	Cy=433126	By=1206757
war adaptation	Cy=213298	By=943009
war adapted	Cy=277081	By=1078942
add war	Cx=830827	Bx=3585343
war add	Cy=830827	By=3585343
added war	Cx=1569974	Bx=5025467
war added	Cy=1569974	By=5025467
adding war	Cx=321524	Bx=1314658
war adding	Cy=321524	By=1314658
war addition	Cy=1676084	By=7222259
additional war	Cx=1069011	Bx=4899062
war additional	Cy=1069011	By=4899062
war additions	Cy=129696	By=365025
address war	Cx=622684	Bx=3810727
war address	Cy=622684	By=3810727
war addressed	Cy=286073	By=1385092
war addresses	Cy=127555	By=829745
addressing war	Cx=72647	Bx=556938
war adds	Cy=219714	By=833366
adequate war	Cx=791014	Bx=2738615
war adequate	Cy=791014	By=2738615
war adequately	Cy=197334	By=768236
war adhered	Cy=48272	By=136756
war adjusted	Cy=241702	By=865444
adjusting war	Cx=79820	Bx=350245
war adjustment	Cy=443511	By=1544766
war adjustments	Cy=145207	By=556027
war administered	Cy=283976	By=1289748
administering war	Cx=67231	Bx=277403
administration war	Cx=1546131	Bx=5689136
war administration	Cy=1546131	By=5689136
war administrations	Cy=43848	By=156146
administrative war	Cx=658314	Bx=2162956
war administrative	Cy=658314	By=2162956
war administrator	Cy=193566	By=746781
war administrators	Cy=204157	By=883391
admirable war	Cx=121460	Bx=230485
war admiral	Cy=249293	By=579140
admiralty war	Cx=82748	Bx=177513
admire war	Cx=92881	Bx=259496
admired war	Cx=146641	Bx=445495
admit war	Cx=388399	Bx=1082326
war admit	Cy=388399	By=1082326
war admits	Cy=95562	By=282845
admitted war	Cx=508207	Bx=1401352
war admitted	Cy=508207	By=1401352
war admittedly	Cy=78191	By=228755
admitting war	Cx=73900	Bx=221945
war admonish	Cy=8411	By=22596
adolescent war	Cx=169061	Bx=1179549
adopt war	Cx=224471	Bx=824540
adopted war	Cx=696901	Bx=2166854
war adopted	Cy=696901	By=2166854
adopting war	Cx=71766	Bx=308856
war adorn	Cy=24174	By=51302
adult war	Cx=654682	Bx=3620957
advance war	Cx=719825	Bx=2033709
war advance	Cy=719825	By=2033709
advanced war	Cx=715154	Bx=2612088
war advanced	Cy=715154	By=2612088
war advances	Cy=232108	By=993685
advancing war	Cx=131709	Bx=386385
war advancing	Cy=131709	By=386385
war advantage	Cy=822149	By=2796859
advantageous war	Cx=94505	Bx=262652
war advantageously	Cy=13675	By=23613
war advantages	Cy=462421	By=1574212
war adventure	Cy=177102	By=576064
war adventures	Cy=134943	By=418639
adventurous war	Cx=36246	Bx=102018
war adversaries	Cy=38724	By=124173
war adversary	Cy=51259	By=200616
adverse war	Cx=126591	Bx=964624
war adversely	Cy=39637	By=213425
advertised war	Cx=58045	Bx=196995
war advertised	Cy=58045	By=196995
advertising war	Cx=322540	Bx=1427679
war advertising	Cy=322540	By=1427679
advise war	Cx=116526	Bx=394808
advised war	Cx=224425	Bx=733452
war advised	Cy=224425	By=733452
war adviser	Cy=79686	By=243217
war advisers	Cy=97315	By=255683
advises war	Cx=28299	Bx=100231
advising war	Cx=38732	Bx=147235
advisory war	Cx=170438	Bx=668404
war advisory	Cy=170438	By=668404
war advocacy	Cy=38134	By=358337
advocate war	Cx=145399	Bx=609140
war advocate	Cy=145399	By=609140
advocated war	Cx=131549	Bx=449064
war advocated	Cy=131549	By=449064
advocates war	Cx=103150	Bx=533493
war advocates	Cy=103150	By=533493
advocating war	Cx=39324	Bx=155557
aeginetan war	Cx=711	Bx=829
aerial war	Cx=73958	Bx=269379
war aerial	Cy=73958	By=269379
war aeronautical	Cy=22855	By=63991
war aeroplane	Cy=17381	By=33093
war aeroplanes	Cy=9215	By=17807
aesthetic war	Cx=202190	Bx=865847
aetolian war	Cx=1820	Bx=2126
af war	Cx=121829	Bx=380054
war af	Cy=121829	By=380054
war afar	Cy=35035	By=89098
war affair	Cy=304751	By=894447
affairs war	Cx=1116317	Bx=3015831
war affairs	Cy=1116317	By=3015831
affect war	Cx=516696	Bx=2890865
war affect	Cy=516696	By=2890865
affected war	Cx=664186	Bx=2844288
war affected	Cy=664186	By=2844288
affecting war	Cx=234031	Bx=1031563
war affecting	Cy=234031	By=1031563
affects war	Cx=169709	Bx=948418
war affects	Cy=169709	By=948418
affghan war	Cx=42	Bx=69
war affirmed	Cy=102458	By=294516
war afflicted	Cy=63287	By=207443
war afflicting	Cy=4691	By=19035
war affluence	Cy=27027	By=112673
afford war	Cx=336197	Bx=1031732
war afford	Cy=336197	By=1031732
war afforded	Cy=132300	By=319427
war affords	Cy=79365	By=174862
afghan war	Cx=12514	Bx=66521
afghanistan war	Cx=31354	Bx=191760
war afghanistan	Cy=31354	By=191760
war afloat	Cy=23525	By=75279
war afoot	Cy=16378	By=39953
war afore	Cy=17121	By=25569
aforesaid war	Cx=69252	Bx=143057
war aforesaid	Cy=69252	By=143057
afraid war	Cx=475175	Bx=1758837
war afraid	Cy=475175	By=1758837
war afresh	Cy=22097	By=43491
africa war	Cx=941838	Bx=2839746
war africa	Cy=941838	By=2839746
african war	Cx=683582	Bx=3004319
war african	Cy=683582	By=3004319
after war	Cx=11123680	Bx=39939607
war after	Cy=11123680	By=39939607
war aftermath	Cy=37524	By=214377
afterthe war	Cx=225	Bx=1537
afterward war	Cx=178666	Bx=550155
war afterward	Cy=178666	By=550155
afterwards war	Cx=396569	Bx=708837
war afterwards	Cy=396569	By=708837
war ag	Cy=106238	By=475419
war aga	Cy=8116	By=35019
again war	Cx=4644458	Bx=15145422
war again	Cy=4644458	By=15145422
war againat	Cy=446	By=1489
war againfl	Cy=562	By=1290
war againft	Cy=19287	By=32571
war againit	Cy=324	By=547
war agains	Cy=682	By=2421
war againsi	Cy=120	By=632
war againsl	Cy=223	By=1134
against war	Cx=6125248	Bx=18107266
war against	Cy=6125248	By=18107266
war againt	Cy=429	By=1182
war agaiust	Cy=188	By=562
war agamemnon	Cy=31487	By=65750
war agamst	Cy=267	By=2035
age war	Cx=3168391	Bx=13471692
war age	Cy=3168391	By=13471692
aged war	Cx=378875	Bx=1636793
war aged	Cy=378875	By=1636793
agelong war	Cx=773	Bx=987
war agencies	Cy=606815	By=2764629
war agency	Cy=620781	By=3423543
war agenda	Cy=43280	By=627656
war agent	Cy=660293	By=2749274
war agents	Cy=599213	By=2921101
ages war	Cx=574153	Bx=1925012
war aggravated	Cy=51306	By=174280
aggregate war	Cx=164992	Bx=750438
war aggregated	Cy=12327	By=85594
aggression war	Cx=250675	Bx=957014
war aggression	Cy=250675	By=957014
aggressive war	Cx=238582	Bx=1219294
war aggressively	Cy=18599	By=140932
war aghast	Cy=13120	By=37837
agin war	Cx=6762	Bx=14885
war agin	Cy=6762	By=14885
agincourt war	Cx=5147	Bx=11535
aging war	Cx=118695	Bx=1549262
war aginst	Cy=438	By=1661
war agitated	Cy=55097	By=193943
war agitation	Cy=146428	By=356463
war agitations	Cy=5904	By=9981
war agitator	Cy=16666	By=36184
war agitators	Cy=26327	By=46594
war agninst	Cy=161	By=275
ago war	Cx=1026566	Bx=3551500
war ago	Cy=1026566	By=3551500
agonizing war	Cx=21904	Bx=79304
war agony	Cy=83104	By=246100
agrarian war	Cx=123195	Bx=324672
war agrarian	Cy=123195	By=324672
war agree	Cy=617432	By=2122011
war agreed	Cy=801514	By=2684411
agreement war	Cx=1136676	Bx=3635018
war agreement	Cy=1136676	By=3635018
war agreements	Cy=245473	By=882637
war agrees	Cy=114559	By=402565
agricultural war	Cx=764684	Bx=2411751
war agricultural	Cy=764684	By=2411751
agriculture war	Cx=671804	Bx=1893283
war agriculture	Cy=671804	By=1893283
war agt	Cy=1655	By=8826
war aguinst	Cy=56	By=107
war ahead	Cy=547388	By=2002225
ahout war	Cx=4236	Bx=49970
ai war	Cx=185311	Bx=704282
war ai	Cy=185311	By=704282
aid war	Cx=1255713	Bx=3628105
war aid	Cy=1255713	By=3628105
aided war	Cx=138355	Bx=462123
war aided	Cy=138355	By=462123
aiding war	Cx=43025	Bx=126551
aids war	Cx=168939	Bx=1638923
war aids	Cy=168939	By=1638923
war aim	Cy=423010	By=1207863
war aimed	Cy=194507	By=874153
war aiming	Cy=44751	By=149764
aimless war	Cx=15784	Bx=40720
war aims	Cy=273513	By=676642
war ain	Cy=169616	By=706471
air war	Cx=2769355	Bx=10351582
war air	Cy=2769355	By=10351582
aircraft war	Cx=365391	Bx=1573277
war aircraft	Cy=365391	By=1573277
airfare war	Cx=104	Bx=8663
war airplane	Cy=108150	By=384408
war airplanes	Cy=46280	By=166100
airy war	Cx=31217	Bx=86073
al war	Cx=1240354	Bx=12384043
war al	Cy=1240354	By=12384043
ala war	Cx=97482	Bx=362378
alabama war	Cx=196558	Bx=803153
war alabama	Cy=196558	By=803153
war alarm	Cy=151199	By=573508
war alarmed	Cy=86438	By=212577
alarming war	Cx=53327	Bx=155484
war alarms	Cy=17461	By=104388
alban war	Cx=13727	Bx=38492
war albania	Cy=32865	By=82791
albanian war	Cx=21243	Bx=51110
war albany	Cy=112193	By=397500
war albert	Cy=328409	By=1284613
albigensian war	Cx=2216	Bx=4766
war album	Cy=37190	By=349442
alemannic war	Cx=416	Bx=1409
war alert	Cy=148646	By=672439
war alerts	Cy=3573	By=44659
war alexander	Cy=537611	By=1686550
alexandrian war	Cx=16829	Bx=37789
alexandrine war	Cx=6593	Bx=11156
war alfred	Cy=276023	By=1021363
war alger	Cy=24109	By=63393
algerian war	Cx=45543	Bx=73273
algerine war	Cx=1033	Bx=2300
algonquin war	Cx=5951	Bx=24777
alien war	Cx=181750	Bx=630606
war alien	Cy=181750	By=630606
war alienated	Cy=57556	By=243851
war alignment	Cy=67101	By=390950
war alignments	Cy=12736	By=43968
war alike	Cy=302459	By=802341
alive war	Cx=418641	Bx=1547865
war alive	Cy=418641	By=1547865
all war	Cx=29978072	Bx=94671011
war all	Cy=29978072	By=94671011
war allays	Cy=1444	By=4012
alleged war	Cx=230482	Bx=729765
war alleged	Cy=230482	By=729765
war allegedly	Cy=52154	By=244004
allegorical war	Cx=39839	Bx=126630
war allegory	Cy=54328	By=164569
allein war	Cx=4021	Bx=9155
war allein	Cy=4021	By=9155
war allen	Cy=329806	By=1588707
war allerdings	Cy=1013	By=2430
alles war	Cx=9243	Bx=24056
war alles	Cy=9243	By=24056
alliance war	Cx=371618	Bx=1040370
war alliance	Cy=371618	By=1040370
war alliances	Cy=60497	By=251324
allied war	Cx=321976	Bx=834293
war allied	Cy=321976	By=834293
allies war	Cx=330305	Bx=798400
war allies	Cy=330305	By=798400
war allotted	Cy=67229	By=160946
allout war	Cx=1288	Bx=2708
allow war	Cx=694095	Bx=3988609
war allow	Cy=694095	By=3988609
war allowance	Cy=159374	By=427078
war allowances	Cy=84644	By=244315
allowed war	Cx=975413	Bx=3605770
war allowed	Cy=975413	By=3605770
allowing war	Cx=212275	Bx=1282838
war allowing	Cy=212275	By=1282838
allows war	Cx=228246	Bx=2261379
war allows	Cy=228246	By=2261379
war alluded	Cy=45827	By=134969
war alludes	Cy=17986	By=71226
ally war	Cx=111002	Bx=327456
war ally	Cy=111002	By=327456
war almanac	Cy=35361	By=111508
almost war	Cx=3544013	Bx=10627747
war almost	Cy=3544013	By=10627747
war alms	Cy=28897	By=66263
alone war	Cx=1790803	Bx=5965425
war alone	Cy=1790803	By=5965425
along war	Cx=2694611	Bx=9653978
war along	Cy=2694611	By=9653978
alongside war	Cx=103201	Bx=431549
war alongside	Cy=103201	By=431549
already war	Cx=2811687	Bx=8927666
war already	Cy=2811687	By=8927666
als war	Cx=65231	Bx=245419
war als	Cy=65231	By=245419
war alsace	Cy=23381	By=56411
also war	Cx=13417998	Bx=57349014
war also	Cy=13417998	By=57349014
alt war	Cx=29229	Bx=203146
alter war	Cx=215188	Bx=997437
war alter	Cy=215188	By=997437
war altered	Cy=264105	By=1193811
alternate war	Cx=154505	Bx=676872
war alternate	Cy=154505	By=676872
war alternated	Cy=14652	By=51831
war alternately	Cy=60661	By=184068
alternating war	Cx=96158	Bx=326709
alternative war	Cx=509300	Bx=3384320
war alternative	Cy=509300	By=3384320
war alters	Cy=28170	By=147363
although war	Cx=3852155	Bx=16396518
war although	Cy=3852155	By=16396518
war altogether	Cy=386398	By=943810
altruistic war	Cx=16092	Bx=87403
alumni war	Cx=56768	Bx=171974
always war	Cx=4060735	Bx=13972666
war always	Cy=4060735	By=13972666
am war	Cx=3338237	Bx=12110209
war am	Cy=3338237	By=12110209
amalekite war	Cx=542	Bx=1919
amalgam war	Cx=20577	Bx=80421
amateur war	Cx=92043	Bx=319368
amazing war	Cx=99776	Bx=385344
amazon war	Cx=35696	Bx=155348
war ambassador	Cy=264363	By=586036
ambiguous war	Cx=108327	Bx=488094
war ambitions	Cy=102706	By=263105
ambitious war	Cx=159733	Bx=475395
war amendment	Cy=385258	By=1367771
war amendments	Cy=121996	By=459154
america war	Cx=2310217	Bx=7999244
war america	Cy=2310217	By=7999244
american war	Cx=6284229	Bx=24161903
war american	Cy=6284229	By=24161903
americanjapanese war	Cx=129	Bx=421
americans war	Cx=782038	Bx=3778924
war americans	Cy=782038	By=3778924
americanspanish war	Cx=17	Bx=35
americas war	Cx=46617	Bx=258660
ameriean war	Cx=534	Bx=4375
ami war	Cx=40666	Bx=169993
war ami	Cy=40666	By=169993
amicable war	Cx=15192	Bx=35866
amid war	Cx=130350	Bx=351516
war amid	Cy=130350	By=351516
amidst war	Cx=56668	Bx=151383
war amidst	Cy=56668	By=151383
war amis	Cy=14081	By=41172
war amiss	Cy=20681	By=47619
ammonite war	Cx=2012	Bx=7364
ammonitish war	Cx=20	Bx=20
war ammunition	Cy=114508	By=299352
among war	Cx=4884364	Bx=16330083
war among	Cy=4884364	By=16330083
war amongst	Cy=189284	By=362972
amorous war	Cx=30666	Bx=70524
war amount	Cy=2026266	By=6828622
war amounted	Cy=125396	By=273237
war amounting	Cy=53807	By=103120
war amounts	Cy=563277	By=2005211
amphibious war	Cx=21354	Bx=88283
amphictyonic war	Cx=1367	Bx=1473
amphissian war	Cx=39	Bx=4
ample war	Cx=164675	Bx=428016
war ample	Cy=164675	By=428016
war amply	Cy=44830	By=103850
war amputations	Cy=5497	By=35543
war amputees	Cy=2480	By=16510
amusing war	Cx=99782	Bx=243635
an war	Cx=38960023	Bx=144334082
war an	Cy=38960023	By=144334082
ana war	Cx=73480	Bx=377238
war ana	Cy=73480	By=377238
war analogies	Cy=47280	By=147603
war analogy	Cy=194467	By=606782
war analyses	Cy=202104	By=1176253
analysis war	Cx=2215379	Bx=11343384
war analysis	Cy=2215379	By=11343384
war analysts	Cy=48602	By=408138
analyze war	Cx=141190	Bx=754987
analyzing war	Cx=100381	Bx=558842
war anarchy	Cy=72137	By=162977
war ancestor	Cy=69612	By=252264
war ancestors	Cy=167045	By=578374
ancestral war	Cx=56315	Bx=199234
war ancestry	Cy=58396	By=223717
war anchorage	Cy=33829	By=132101
war anchored	Cy=53067	By=197157
ancient war	Cx=1011783	Bx=2832146
and war	Cx=310779487	Bx=1148350322
war and	Cy=310779487	By=1148350322
andaste war	Cx=160	Bx=221
anders war	Cx=12939	Bx=65138
war anderson	Cy=250777	By=1294078
war andrew	Cy=245015	By=1166415
war ane	Cy=20028	By=39020
war anecdotes	Cy=44015	By=145770
anew war	Cx=63482	Bx=171984
war anew	Cy=63482	By=171984
anfang war	Cx=1648	Bx=6693
angel war	Cx=182917	Bx=718009
angels war	Cx=160299	Bx=546796
war anger	Cy=283121	By=1738354
war angered	Cy=29027	By=110621
war angle	Cy=657584	By=2058524
war anglo	Cy=247351	By=804743
angloamerican war	Cx=5702	Bx=19125
angloboer war	Cx=45	Bx=144
angloburmese war	Cx=47	Bx=98
anglochinese war	Cx=160	Bx=228
anglodutch war	Cx=201	Bx=455
anglofrench war	Cx=2381	Bx=3046
anglogerman war	Cx=773	Bx=978
angloirish war	Cx=288	Bx=1511
anglospanish war	Cx=151	Bx=224
angola war	Cx=28434	Bx=156756
angolan war	Cx=2624	Bx=24518
angry war	Cx=288085	Bx=1363344
war anil	Cy=13358	By=42381
animal war	Cx=937345	Bx=3145275
war animal	Cy=937345	By=3145275
war animals	Cy=1142725	By=3760993
animated war	Cx=61867	Bx=219911
war animated	Cy=61867	By=219911
war animosities	Cy=10160	By=23102
war anna	Cy=248330	By=1301123
war annals	Cy=108560	By=320921
annexationist war	Cx=2171	Bx=4197
annihilate war	Cx=15349	Bx=39890
war annihilates	Cy=2603	By=7293
annihilating war	Cx=6967	Bx=18221
war anniversary	Cy=96745	By=373026
announce war	Cx=69864	Bx=240676
announced war	Cx=406334	Bx=1280066
war announced	Cy=406334	By=1280066
war announcement	Cy=120837	By=386080
announces war	Cx=37126	Bx=149926
war announces	Cy=37126	By=149926
announcing war	Cx=58478	Bx=192261
war announcing	Cy=58478	By=192261
annual war	Cx=873060	Bx=3622086
war annual	Cy=873060	By=3622086
war annulled	Cy=14383	By=34041
war annuls	Cy=1981	By=5062
war ano	Cy=100972	By=196279
anomalous war	Cx=45056	Bx=167078
anonymous war	Cx=117921	Bx=564474
another war	Cx=6356617	Bx=22846579
war another	Cy=6356617	By=22846579
answer war	Cx=1550837	Bx=5077750
war answer	Cy=1550837	By=5077750
war answered	Cy=537676	By=1631971
answering war	Cx=108705	Bx=442037
ant war	Cx=83141	Bx=286064
war ant	Cy=83141	By=286064
war antagonism	Cy=70047	By=181923
war antagonisms	Cy=18822	By=44793
war antagonists	Cy=28066	By=193872
war anthem	Cy=18300	By=70644
war anthology	Cy=55876	By=287902
war anthony	Cy=155095	By=848292
anti war	Cx=792832	Bx=2833745
war anti	Cy=792832	By=2833745
anticipate war	Cx=87352	Bx=386472
anticipated war	Cx=212256	Bx=855813
war anticipated	Cy=212256	By=855813
anticipates war	Cx=21842	Bx=95430
anticipating war	Cx=36535	Bx=161224
anticolonial war	Cx=2769	Bx=9478
war anticommunism	Cy=2533	By=15934
anticommunist war	Cx=6085	Bx=29380
war anticommunist	Cy=6085	By=29380
antidrug war	Cx=215	Bx=9222
antifascist war	Cx=2465	Bx=10642
antiguerrilla war	Cx=698	Bx=1751
antijapanese war	Cx=778	Bx=2117
antinuclear war	Cx=2105	Bx=41385
war antiochus	Cy=23172	By=41179
antipoverty war	Cx=5262	Bx=24190
antiquated war	Cx=22850	Bx=54914
antique war	Cx=60569	Bx=232319
antirent war	Cx=220	Bx=343
antiseptic war	Cx=23320	Bx=81491
antislavery war	Cx=33497	Bx=90243
antisoviet war	Cx=695	Bx=2453
antisubmarine war	Cx=4532	Bx=24381
antivietnam war	Cx=69	Bx=600
war anxieties	Cy=56116	By=226778
war anxiety	Cy=517201	By=2640304
anxious war	Cx=322916	Bx=957646
any war	Cx=13662944	Bx=41365654
war any	Cy=13662944	By=41365654
war anybody	Cy=207234	By=730106
war anyhow	Cy=65958	By=155011
war anymore	Cy=23120	By=533919
war anyone	Cy=741552	By=3220267
war anything	Cy=1730266	By=6379445
war anytime	Cy=7296	By=99358
war anyway	Cy=236635	By=1226204
war anywhere	Cy=248807	By=942361
war ap	Cy=156028	By=619291
apache war	Cx=32412	Bx=169243
apanese war	Cx=211	Bx=1452
war apart	Cy=689343	By=2208148
apartheid war	Cx=16752	Bx=117868
war apartment	Cy=219251	By=1221978
war apathy	Cy=57538	By=160502
apocalyptic war	Cx=26056	Bx=159841
war apologists	Cy=13549	By=34602
war appalled	Cy=26954	By=105171
appalling war	Cx=45421	Bx=111225
war apparatus	Cy=354917	By=857665
war apparel	Cy=35916	By=147808
apparent war	Cx=804561	Bx=2638718
apparently war	Cx=997614	Bx=2861936
war apparently	Cy=997614	By=2861936
war appeal	Cy=632180	By=1784137
war appealed	Cy=140965	By=360211
war appeals	Cy=237180	By=803919
war appear	Cy=1694048	By=5838901
war appearance	Cy=927531	By=3004176
war appeared	Cy=1353464	By=4132201
war appearing	Cy=201417	By=660031
war appears	Cy=1506113	By=5242139
war appeasement	Cy=21371	By=42939
war appendix	Cy=465309	By=1796834
war appliances	Cy=46935	By=213027
war applicable	Cy=321762	By=1142487
war application	Cy=1065668	By=4800983
war applications	Cy=405781	By=2783263
applied war	Cx=1423569	Bx=4930576
war applied	Cy=1423569	By=4930576
war applies	Cy=285900	By=988271
war apply	Cy=717191	By=2799283
appointed war	Cx=692759	Bx=1622739
war appointed	Cy=692759	By=1622739
war appointment	Cy=328485	By=1041528
war appointments	Cy=101369	By=358482
war appreciably	Cy=68533	By=122901
apprehend war	Cx=37817	Bx=85004
apprehended war	Cx=48723	Bx=119538
apprehending war	Cx=9705	Bx=28693
approach war	Cx=1378789	Bx=8064200
war approach	Cy=1378789	By=8064200
approached war	Cx=266180	Bx=920032
war approached	Cy=266180	By=920032
approaches war	Cx=354666	Bx=2377958
war approaches	Cy=354666	By=2377958
approaching war	Cx=227653	Bx=680801
war approaching	Cy=227653	By=680801
appropriate war	Cx=935188	Bx=5791680
war appropriate	Cy=935188	By=5791680
war appropriated	Cy=63152	By=195686
war appropriation	Cy=90786	By=275019
war appropriations	Cy=90368	By=267301
approve war	Cx=123490	Bx=376834
approved war	Cx=404040	Bx=1348356
war approved	Cy=404040	By=1348356
approves war	Cx=24745	Bx=70301
approving war	Cx=32624	Bx=102644
approximate war	Cx=242156	Bx=664223
